"id","first","last","degree","entity","specialty","dwc","code","address","suite","city","state","zip","phone","fax","latitude","longitude","taxid","statelicensenumber","county","workinghrs","priority","referral","mpn0589","mpn0701","mpn1203","mpn2079","mpn2125","mpn2126","mpn2128","mpn2347","mpn2376","mpn2394","mpn2451","mpn2452","mpn3091","mpn3095","mpn3096","mpn3097","deleted","created","newid"
"953","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"954","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"955","43first","43last","PHD","43entity","OCCUPATIONAL HEALTH CENTER","43dwc","ORTHO","3332 South 82nd East Avenue","43suite"," Tulsa"," OK","43zip","234343323","43fzx","36.1135481","-95.8856177","43taxid","333","","","","","false","false","true","true","false","true","true","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:16:47.223Z","0"
"956","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"957","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"958","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"959","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"960","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"961","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"962","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"963","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"964","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"965","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"966","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"967","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"968","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"969","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"970","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"971","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"972","43first","43last","PHD","43entity","OCCUPATIONAL HEALTH CENTER","43dwc","ORTHO","3332 South 82nd East Avenue","43suite"," Tulsa"," OK","43zip","234343323","43fzx","36.1135481","-95.8856177","43taxid","333","","","","","false","false","true","true","false","true","true","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:16:47.223Z","0"
"973","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"974","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"975","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"976","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"977","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"978","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"979","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"980","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"981","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"982","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"983","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
"984","2342","2last","MD","entity2","ORTHOPEDICS","afd","ANC","2223 North Westshore Boulevard",""," Tampa"," FL","","","","27.9656353","-82.521205","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:03:56.933Z","0"
"985","first","last","DPM","entity","PRIMARY TREATING PHYSICIAN","dwc","MISC","2222 West Main Street","suite"," Independence"," KS","zip","12234452234","fax","37.2242654","-95.7339107","111","222","county","3","priority","aa","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-19T19:00:26.770Z","232"
"986","123","sdf","PT","342234","ORTHOPEDIC","54y","PTP","2342 Technology Drive","354"," O'Fallon"," MO","345","4234","34","38.7534596","-90.7536523","","","","","","","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T08:55:38.243Z","0"
"987","345","354","MD","","PRIMARY TREATING PHYSICIAN","","MISC","2131 Elm Hill Pike","0"," Nashville"," TN","","","","36.1488618","-86.6942461","","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2020-02-21T11:20:51.540Z","0"
